circles,euclideanDistance,jaccardDissimilarity,canopyCover,distanceToRoad,geographicDistance,forest_1km
DF1_DF2,14.598107074597811,0.46153846153846156,0.06,0.05285218946365569,0.057511296293998496,0
DF1_DF3,14.67582182431967,0.2857142857142857,0.05,0.15554544698434808,0.1565587421381959,0
DF1_DF4,17.202974053231962,0.375,0.01,0.24825146212577834,0.2503518143378299,0
DF1_DF5,14.65734246142705,0.3571428571428571,0.04,0.3394417304005282,0.4345347894256653,0
DF1_ERSP1,17.840995655532875,0.5,0.03,0.3038624493740957,10.300569213829935,0.077997231
DF1_ERSP2,17.252712515973858,0.3125,0.08,0.29976584986586674,10.359368853765158,0.077997231
DF1_ERSP3,17.44592301739875,0.47058823529411764,0.02,0.2631880696655629,10.415028305208482,0.077997231
DF1_ERSP4,15.806310006387303,0.4117647058823529,0.16,0.23964185513230496,10.49205553437816,0.077997231
DF1_ERSP6,16.523000081175518,0.47058823529411764,0.1,0.28205290614473244,10.643725167799799,0.077997231
DF1_JMNP1,22.58932843684455,0.6190476190476191,0.08,0.26990787195927146,3.0225502566931426,0.13063959400000003
DF1_JMNP2,18.248002328493524,0.6,0.06,0.3494085959445106,2.9289027902754303,0.13063959400000003
DF1_JMNP3,18.93762304006689,0.6666666666666667,0.08,0.28494435193292283,2.9466409394616084,0.13063959400000003
DF1_JMNP5,20.75874491822539,0.5,0.04,0.4078584420258296,2.886890721889778,0.13063959400000003
DF1_JMNP8,15.52247108560328,0.4375,0.08,0.22783821403923507,3.098219613300555,0.13063959400000003
DF1_NCBG1,25.99767830278329,0.7,0.14,0.27379413318077517,9.209815119380039,0.430050245
DF1_NCBG4,16.264880586961308,0.3846153846153846,0.06,0.195868449110529,9.355063520701885,0.430050245
DF1_NCBG5,18.055605743465264,0.4736842105263158,0.07,0.28129103831747354,9.439672955459846,0.430050245
DF1_NCBG6,22.607655051368955,0.6,0.02,0.31387170028224287,9.501380041012315,0.430050245
DF1_NCBG8,24.40370322812332,0.6842105263157895,0.08,0.35105664334079545,9.373510658165102,0.430050245
DF1_NCSU10,19.640625914327288,0.6,0.02,0.31722289940533155,38.4565995264595,0.8489754740000001
DF1_NCSU11,16.854698883569753,0.6666666666666667,0.04,0.35035855341720434,38.422519808579025,0.8489754740000001
DF1_NCSU2,21.936442852193508,0.7058823529411764,0.01,0.40664482199737795,37.70518961291116,0.8489754740000001
DF1_NCSU3,19.03358591211154,0.625,0.02,0.4161324391699623,37.828846556152975,0.8489754740000001
DF1_NCSU9,23.248402885453416,0.65,0.01,0.38849047214820615,37.79754033296411,0.8489754740000001
DF1_UNC13,23.289687749602376,0.6842105263157895,0.08,0.40108143601099,8.649374692212344,0.780717938
DF1_UNC14,21.79055459154619,0.65,0.21,0.40650263439306655,8.520133932896417,0.780717938
DF1_UNC3,26.797253225798098,0.9,0,0.3955805440210621,8.734763451301763,0.780717938
DF1_UNC4,25.326523036399198,0.7142857142857143,0.42,0.41264376044073114,8.722279915776534,0.780717938
DF1_UNC8,23.41995315713457,0.736842105263158,0,0.4227387760505475,8.617977582766127,0.780717938
DF2_DF3,14.525386806364653,0.5714285714285714,0.01,0.10269325752069239,0.10281752894917429,0
DF2_DF4,16.009568531993075,0.5333333333333333,0.07,0.19539927266212265,0.19564430832056673,0
DF2_DF5,18.501965264821404,0.5384615384615384,0.02,0.28658954093687256,0.3785153321764204,0
DF2_ERSP1,15.933158644568902,0.4666666666666667,0.03,0.35671463883775134,10.24609618809966,0.077997231
DF2_ERSP2,22.34642349168767,0.5625,0.02,0.35261803932952246,10.304832477128498,0.077997231
DF2_ERSP3,21.45531541005821,0.5333333333333333,0.04,0.3160402591292186,10.360558870773028,0.077997231
DF2_ERSP4,19.290671549528142,0.4666666666666667,0.1,0.2924940445959606,10.437695451700185,0.077997231
